example_id,true_intent,intent,action,confidence,language,cue_overlap,draft
challenge-2909124,other_unclear,delivery_delay,auto_handle,0.9004,en,apology,"Hello! We are sorry to hear about this experience. I am so sorry your Christmas gift was ruined, Carla! The item was shipped using Frustration Free Packaging. Learn more here: To keep the contents of your package a surprise, select the gift option during checkout. Hope. To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-365605,none,delivery_delay,auto_handle,0.8792,fr,,"Hello! This is Amazon Customer Service. Je vous en prie, très bonne fin de journée To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-426141,none,delivery_delay,auto_handle,0.9052,es,,"Hello! This is Amazon Customer Service. Hola, lamentamos lo sucedido. ¿El pedido es gestionado por Amazon o por un vendedor externo? To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-487688,none,delivery_delay,auto_handle,0.8838,fr,,"Hello! This is Amazon Customer Service. Désolé pour cela. Si l'annulation n'est plus possible, vous aurez la possibilité de refuser le colis lors de la livraison 1/2 To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-519702,account_access,delivery_delay,escalate,0.8654,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-582649,product_return_and_replacement,delivery_delay,auto_handle,0.9275,en,,"Hello! This is Amazon Customer Service. You can identify whether an email is legitimate or not by using the following linke http: Hope this helps! To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-616914,charge_issue,service_complaint_escalation,escalate,0.8041,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-689484,delivered_but_not_received,delivery_delay,escalate,0.811,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-694411,product_return_and_replacement,delivery_delay,auto_handle,0.8871,en,"apology,ask","Hello! We are sorry to hear about this experience. I'm sorry for the trouble you're facing while connecting with us. Could you please help us with the screenshot of the error so that we can assist you? To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-787658,none,delivery_delay,auto_handle,0.9547,es,,"Hello! This is Amazon Customer Service. Nos alegra sabe que el problema fue resuelto, Verleh, estamos a tu disposición siempre que necesites To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-816342,none,delivery_delay,auto_handle,0.9871,it,,"Hello! We are sorry to hear about this experience. Sorry for the trouble. You may request an immediate call back from our support team here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-834216,delivered_but_not_received,delivery_delay,auto_handle,0.9998,en,,"Hello! This is Amazon Customer Service. Thanks for letting us know! We'd like to take a closer look. Please provide more info here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-835153,product_return_and_replacement,delivery_delay,escalate,0.8431,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-842315,delivery_delay,delivered_but_not_received,escalate,0.7245,fr,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
challenge-893308,none,delivery_delay,auto_handle,0.881,pt,,"Hello! This is Amazon Customer Service. Que lindo! Que livro você está lendo no momento? 😍☕️📚 To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
challenge-972720,refund_request,delivery_delay,auto_handle,0.9077,en,ask,"Hello! This is Amazon Customer Service. I understand your issue. We got your details and working on it, we'll get back with a resolution at the earliest To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1018235,product_return_and_replacement,delivery_delay,auto_handle,0.9011,en,,"Hello! This is Amazon Customer Service. I request you to reply to the email you've received from our team for any further assistance on this issue To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1105754,order_status_query,delivery_delay,auto_handle,0.8794,en,,"Hello! This is Amazon Customer Service. I understand your concern. However, as we don't have access to your Amazon account over twitter, request you to (1/2) To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1109519,delivered_but_not_received,delivery_delay,auto_handle,0.8877,en,,"Hello! We are sorry to hear about this experience. Sorry, have you tried the tips from this help page: What was the estimated del date of the order? To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1116569,delivery_delay,delivery_delay,auto_handle,0.9164,en,apology,"Hello! We are sorry to hear about this experience. I'm so sorry about your experience! This resource has information that may help in determining what options are available to you: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1136222,service_complaint_escalation,delivery_delay,auto_handle,0.8779,en,ask,"Hello! This is Amazon Customer Service. We haven't received your details yet, kindly drop in your details in the secured link provided earlier for further assistance To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1147828,product_return_and_replacement,delivery_delay,escalate,0.8661,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1179639,service_complaint_escalation,delivery_delay,escalate,0.8737,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1181640,none,delivery_delay,escalate,0.9905,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1192307,delivery_delay,delivery_delay,escalate,0.8662,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1193931,delivery_delay,delivery_delay,auto_handle,0.886,en,,"Hello! This is Amazon Customer Service. I'd like a member of our Amazon Logistics team to look into this with you. Please add details here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1198549,none,delivery_delay,auto_handle,0.928,en,,"Hello! This is Amazon Customer Service. Are there any additional details available on USPS's website? Sometimes they can specify where the parcel was left To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1204940,none,delivery_delay,escalate,0.9101,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1210214,delivery_delay,delivery_delay,auto_handle,0.9243,en,,"Hello! We are sorry to hear about this experience. I'm sorry the item is being returned. Who was the carrier: Have you tried reaching out? To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1218249,delivery_delay,delivery_delay,auto_handle,0.9202,en,apology,"Hello! We are sorry to hear about this experience. I'm so sorry for the trouble with this order, Jeff! We don't have the ability to access your Amazon account via Twitter but we'd like to have someone look into this with you. Please reach us by phone or chat here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1218305,charge_issue,delivery_delay,auto_handle,0.9112,en,,"Hello! This is Amazon Customer Service. Request you to write back to the email you've received from our team &amp; we will get back to you with the latest update To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1220925,delivered_but_not_received,delivery_delay,auto_handle,0.8918,en,,"Hello! This is Amazon Customer Service. Please reach out to us here so we can look into this for you Linda To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1229460,product_return_and_replacement,delivery_delay,escalate,0.7813,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1229688,device_app_issue,delivery_delay,auto_handle,0.931,en,,"Hello! This is Amazon Customer Service. If you're having trouble with the app, please contact us here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1250967,service_complaint_escalation,delivery_delay,auto_handle,0.881,en,apology,"Hello! We are sorry to hear about this experience. I'm so sorry for any trouble, John. Do you have an order that's missed the delivery date provided in your confirmation e-mail? If so, just let us know- we're here to help! To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1311577,delivery_delay,delivery_delay,auto_handle,0.9038,en,apology,"Hello! We are sorry to hear about this experience. I apologize for the delay. Who was the carrier of your order? Please check here: Let us know! To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1335118,delivery_delay,delivery_delay,escalate,0.8634,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-136922,cancellation,delivery_delay,auto_handle,0.9416,en,apology,"Hello! We are sorry to hear about this experience. Apologies for the hassle. As mentioned earlier, canceled orders can't be reinstated. Please reach our support team through the link provided earlier. We will assist you further To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1384189,service_complaint_escalation,service_complaint_escalation,escalate,0.9315,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1384330,device_app_issue,delivery_delay,auto_handle,0.9155,en,,"Hello! We are sorry to hear about this experience. Sorry about that. Kindly get in touch with us here: and we’ll be glad to help you To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1389974,delivery_delay,delivery_delay,escalate,0.8634,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1397273,order_status_query,delivery_delay,escalate,0.8654,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1399860,delivery_delay,delivery_delay,escalate,0.829,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1406593,delivery_delay,delivery_delay,auto_handle,0.9046,en,,"Hello! This is Amazon Customer Service. Thanks for sharing the shipping speed! Was an updated delivery date provided? To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1415560,service_complaint_escalation,delivery_delay,escalate,0.8701,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1420099,delivery_delay,delivery_delay,auto_handle,0.9275,en,,"Hello! We are sorry to hear about this experience. Oh no! We're terribly sorry about that, Nikkie! Did we send an email explaining the cancellation? Please let us know! To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1420491,refund_request,delivery_delay,escalate,0.7736,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1423023,delivered_but_not_received,delivery_delay,auto_handle,0.9336,en,apology,"Hello! We are sorry to hear about this experience. Sorry to hear this, Kaylea. Please contact us via phone/chat to discuss available options To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-142833,delivery_delay,delivery_delay,auto_handle,0.9085,en,,"Hello! This is Amazon Customer Service. Hmm. You should be able to choose the ""Prime and More"" option. Are you seeing that on the contact us page? To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1436650,refund_request,delivery_delay,auto_handle,0.9073,en,apology,"Hello! We are sorry to hear about this experience. Hi Sue, sorry to hear this. Without revealing any account information, can you advise what has happened? To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1464161,device_app_issue,delivery_delay,escalate,0.6196,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1464285,order_status_query,delivery_delay,auto_handle,0.9266,en,,"Hello! We are sorry to hear about this experience. Sorry about the inconvenience caused to you with the delivery of your order. Kindly connect with us 1/3 To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-149199,delivered_wrong_location,delivery_delay,auto_handle,0.8775,en,,"Hello! We are sorry to hear about this experience. I'm so sorry to hear your parcel was left in an undesirable location, Charlotte! If you haven't done so, please ensure your delivery preferences are up to date. You can do so by following the steps here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1537572,service_complaint_escalation,delivery_delay,escalate,0.8408,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1541879,service_complaint_escalation,service_complaint_escalation,escalate,0.6209,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1570766,delivery_delay,delivery_delay,auto_handle,0.9685,en,ask,"Hello! Thank you for taking the time to write to us. Thank you for recommending this, we'll definitely work on it. Stay tuned for more updates To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1587374,delivery_delay,delivery_delay,auto_handle,0.9157,en,,"Hello! This is Amazon Customer Service. What does the tracking information on the order show? You can view this information here: GR To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1588773,service_complaint_escalation,delivery_delay,auto_handle,0.9452,en,,"Hello! This is Amazon Customer Service. What happens when you try to watch? Does it buffer or give you an error message? To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1604096,charge_issue,delivery_delay,escalate,0.597,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-1707062,none,delivery_delay,auto_handle,0.9198,en,,"Hello! This is Amazon Customer Service. Great we will respond to your DM To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1721707,order_status_query,delivery_delay,auto_handle,0.9323,en,apology,"Hello! We are sorry to hear about this experience. I'm sorry for the wait! Have we missed the promised delivery date here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1724691,charge_issue,delivery_delay,auto_handle,0.9378,en,,"Hello! This is Amazon Customer Service. That's strange. Kindly connect with us here: we'd like to help To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1727624,delivered_wrong_location,service_complaint_escalation,escalate,0.9302,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-174486,none,delivery_delay,auto_handle,0.894,en,,"Hello! This is Amazon Customer Service. Feliz día para ti también, ¡saludos! 😊 To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1746071,service_complaint_escalation,delivery_delay,auto_handle,0.892,en,"ask,contact","Hello! We are sorry to hear about this experience. I'm so sorry! We'd like to look into this for you. Please provide any order/contact info here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1755281,other_unclear,delivery_delay,auto_handle,0.941,en,,"Hello! This is Amazon Customer Service. Hi there! If you check the tips in this link, you should be able to identify whether this e-mail is from Amazon or not: Let us know if you have any other questions! To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1763226,service_complaint_escalation,delivery_delay,auto_handle,0.9022,en,,"Hello! This is Amazon Customer Service. When you get a chance, Alexandre, reach us by phone here: so we can explore all our options with you! To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1766849,device_app_issue,delivery_delay,escalate,0.8604,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-179205,account_access,delivery_delay,auto_handle,0.9084,en,contact,"Hello! We are sorry to hear about this experience. I apologize you were sent the wrong link. You won't be required to sign in when contacting us directly here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-18706,refund_request,delivery_delay,auto_handle,0.9046,en,,"Hello! This is Amazon Customer Service. Refund for the order would be processed as soon as the returned item reaches our fulfillment center. Generally, it takes about 5-10 business days for a returning package to reach our fulfillment center. Kindly wait until. To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1893565,service_complaint_escalation,delivery_delay,auto_handle,0.9566,en,,"Hello! This is Amazon Customer Service. Please be assured Ashu, as you've shared your details we'll work on it and get back to you at the earliest To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1912145,account_access,delivery_delay,auto_handle,0.9022,en,,"Hello! Thank you for taking the time to write to us. That is a great idea! Thank you for the feedback! :) To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-1943693,none,delivery_delay,auto_handle,0.9362,en,,"Hello! This is Amazon Customer Service. Please contact us from the link given by me and we'll help you in getting your issue resolved To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-2003910,delivery_delay,delivery_delay,escalate,0.8584,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-2111184,none,delivery_delay,escalate,0.8754,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-2151408,service_complaint_escalation,delivery_delay,escalate,0.8438,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-2192580,delivery_delay,delivery_delay,auto_handle,0.8971,en,,"Hello! This is Amazon Customer Service. estimated delivery date. I’m positive that the product would be delivered to you. 2/2 \B To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-2216600,service_complaint_escalation,service_complaint_escalation,escalate,0.7175,en,apology,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-2217342,refund_request,delivery_delay,auto_handle,0.895,en,,"Hello! This is Amazon Customer Service. Let's look into this with you in real time. Please click here: so we can further assist. Thanks! To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-2245407,service_complaint_escalation,delivery_delay,auto_handle,0.9029,en,,"Hello! This is Amazon Customer Service. That's strange. We'd like to help you with this, kindly connect with us here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-22572,cancellation,delivery_delay,auto_handle,0.9337,en,,"Hello! This is Amazon Customer Service. Please connect with our support team here: and we'll assist you regarding this. 2/2 To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-2266765,none,delivery_delay,escalate,0.8434,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-2283511,delivered_wrong_location,delivery_delay,auto_handle,0.9027,en,apology,"Hello! We are sorry to hear about this experience. I'm sorry your orders haven't been delivered. We'd like to make sure this is escalated for you here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-2288190,order_status_query,delivery_delay,auto_handle,0.9165,en,,"Hello! We are sorry to hear about this experience. I’m sorry about the issue you’re facing with delivery. Let us look into it. (1/2) To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-2289844,delivered_but_not_received,delivery_delay,auto_handle,0.9237,en,apology,"Hello! We are sorry to hear about this experience. Apologies for the hassle. Please report this to our team here: so that we can do the needful To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-2291505,product_return_and_replacement,service_complaint_escalation,escalate,0.6074,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-2296826,delivery_delay,delivery_delay,auto_handle,0.8983,en,contact,"Hello! This is Amazon Customer Service. We do not have account access to say, so please contact live support here: for best review To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-2353843,service_complaint_escalation,delivery_delay,escalate,0.8643,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
representative-2363235,order_status_query,delivery_delay,auto_handle,0.9125,en,,"Hello! This is Amazon Customer Service. Hi James! We're unable to view your orders via Twitter but would like to offer our assistance. Have we missed the delivery dates shown here: To help, please share a little more detail (for example the order number or the exact message you see) and we'll take it from there."
representative-2374486,order_status_query,delivery_delay,escalate,0.7975,en,,Hello! We are sorry to hear about this experience. Thank you for raising this. I have included our specialists on this thread so they can look into it for you; they will follow up with next steps shortly.
