example_id,codes,true_intent,intent,action,confidence,language
representative-2111184,intent_off_target;escalation_conservative,none,delivery_delay,escalate,0.8754,en
representative-2151408,intent_off_target;escalation_conservative,service_complaint_escalation,delivery_delay,escalate,0.8438,en
representative-2266765,intent_off_target;escalation_conservative,none,delivery_delay,escalate,0.8434,en
representative-2291505,intent_off_target;escalation_conservative,product_return_and_replacement,service_complaint_escalation,escalate,0.6074,en
representative-2353843,intent_off_target;escalation_conservative,service_complaint_escalation,delivery_delay,escalate,0.8643,en
representative-2374486,intent_off_target;escalation_conservative,order_status_query,delivery_delay,escalate,0.7975,en
representative-2389800,intent_off_target;escalation_conservative,none,delivery_delay,escalate,0.7287,en
representative-2484077,intent_off_target;escalation_conservative,product_return_and_replacement,delivery_delay,escalate,0.8436,en
representative-2573750,intent_off_target;escalation_conservative,service_complaint_escalation,delivery_delay,escalate,0.8693,en
representative-2594956,intent_off_target;escalation_conservative,delivered_wrong_location,delivery_delay,escalate,0.8099,en
representative-2608094,intent_off_target;escalation_conservative,product_return_and_replacement,delivery_delay,escalate,0.6434,en
representative-2612309,intent_off_target;escalation_conservative,charge_issue,delivery_delay,escalate,0.8699,en
representative-2855145,intent_off_target;escalation_conservative,none,delivery_delay,escalate,0.8732,en
representative-2931934,intent_off_target;escalation_conservative,none,delivery_delay,escalate,0.7944,en
representative-2960026,intent_off_target;escalation_conservative,order_status_query,delivery_delay,escalate,0.8596,en
representative-309233,intent_off_target;escalation_conservative,none,delivery_delay,escalate,0.8679,en
representative-467536,intent_off_target;escalation_conservative,product_return_and_replacement,delivery_delay,escalate,0.8682,en
representative-646730,intent_close_secondary;escalation_conservative,order_status_query,delivery_delay,escalate,0.8387,en
representative-676899,intent_off_target;escalation_conservative,product_return_and_replacement,delivery_delay,escalate,0.6774,en
representative-679025,intent_off_target;escalation_conservative,product_return_and_replacement,service_complaint_escalation,escalate,0.8448,en
representative-880948,intent_off_target;escalation_conservative,cancellation,delivery_delay,escalate,0.8703,en
representative-886169,intent_off_target;escalation_conservative,service_complaint_escalation,delivery_delay,escalate,0.8691,en
representative-895946,intent_off_target;escalation_conservative,charge_issue,delivery_delay,escalate,0.8574,en
representative-957126,intent_off_target;escalation_conservative,none,delivery_delay,escalate,0.8257,en
representative-982267,intent_off_target;escalation_conservative,product_return_and_replacement,delivery_delay,escalate,0.8119,en
representative-993935,intent_off_target;escalation_conservative,order_status_query,delivery_delay,escalate,0.8768,en
challenge-102915,intent_off_target,service_complaint_escalation,delivery_delay,auto_handle,0.9245,en
challenge-1033752,intent_off_target,none,delivery_delay,auto_handle,0.8801,de
challenge-1130527,intent_off_target,order_status_query,delivery_delay,auto_handle,0.8833,en
challenge-1242242,intent_close_secondary,delivered_but_not_received,service_complaint_escalation,auto_handle,0.923,en
challenge-1323314,intent_off_target,service_complaint_escalation,delivery_delay,auto_handle,0.9397,en
challenge-1578555,intent_off_target,delivered_wrong_location,delivery_delay,auto_handle,0.8797,de
challenge-1845984,intent_off_target,charge_issue,delivery_delay,auto_handle,0.9187,en
challenge-1955907,intent_off_target,charge_issue,delivery_delay,auto_handle,0.9865,en
challenge-2149534,intent_off_target,order_status_query,delivery_delay,auto_handle,0.8855,en
challenge-2254596,intent_off_target,none,delivery_delay,auto_handle,0.9225,it
challenge-2284883,intent_off_target,delivered_wrong_location,delivery_delay,auto_handle,0.8943,en
challenge-2497106,intent_off_target,device_app_issue,delivery_delay,auto_handle,0.887,en
challenge-2609965,intent_off_target,other_unclear,product_return_and_replacement,auto_handle,0.914,fr
challenge-2694949,intent_off_target,account_access,delivery_delay,auto_handle,0.8888,en
challenge-2814438,intent_off_target,account_access,delivery_delay,auto_handle,0.9085,es
challenge-2909124,intent_off_target,other_unclear,delivery_delay,auto_handle,0.9004,en
challenge-365605,intent_off_target,none,delivery_delay,auto_handle,0.8792,fr
challenge-426141,intent_off_target,none,delivery_delay,auto_handle,0.9052,es
challenge-487688,intent_off_target,none,delivery_delay,auto_handle,0.8838,fr
challenge-582649,intent_off_target,product_return_and_replacement,delivery_delay,auto_handle,0.9275,en
challenge-694411,intent_off_target,product_return_and_replacement,delivery_delay,auto_handle,0.8871,en
challenge-787658,intent_off_target,none,delivery_delay,auto_handle,0.9547,es
challenge-834216,intent_off_target,delivered_but_not_received,delivery_delay,auto_handle,0.9998,en
challenge-893308,intent_off_target,none,delivery_delay,auto_handle,0.881,pt
challenge-972720,intent_off_target,refund_request,delivery_delay,auto_handle,0.9077,en
representative-1018235,intent_off_target,product_return_and_replacement,delivery_delay,auto_handle,0.9011,en
representative-1105754,intent_off_target,order_status_query,delivery_delay,auto_handle,0.8794,en
representative-1109519,intent_off_target,delivered_but_not_received,delivery_delay,auto_handle,0.8877,en
representative-1136222,intent_close_secondary,service_complaint_escalation,delivery_delay,auto_handle,0.8779,en
representative-1192307,escalation_conservative,delivery_delay,delivery_delay,escalate,0.8662,en
representative-1198549,intent_off_target,none,delivery_delay,auto_handle,0.928,en
representative-1218305,intent_off_target,charge_issue,delivery_delay,auto_handle,0.9112,en
representative-1220925,intent_off_target,delivered_but_not_received,delivery_delay,auto_handle,0.8918,en
representative-1229688,intent_off_target,device_app_issue,delivery_delay,auto_handle,0.931,en
representative-1250967,intent_off_target,service_complaint_escalation,delivery_delay,auto_handle,0.881,en
representative-1335118,escalation_conservative,delivery_delay,delivery_delay,escalate,0.8634,en
representative-136922,intent_off_target,cancellation,delivery_delay,auto_handle,0.9416,en
representative-1384330,intent_off_target,device_app_issue,delivery_delay,auto_handle,0.9155,en
representative-1389974,escalation_conservative,delivery_delay,delivery_delay,escalate,0.8634,en
representative-1399860,escalation_conservative,delivery_delay,delivery_delay,escalate,0.829,en
representative-1423023,intent_off_target,delivered_but_not_received,delivery_delay,auto_handle,0.9336,en
representative-1436650,intent_off_target,refund_request,delivery_delay,auto_handle,0.9073,en
representative-1464285,intent_off_target,order_status_query,delivery_delay,auto_handle,0.9266,en
representative-149199,intent_off_target,delivered_wrong_location,delivery_delay,auto_handle,0.8775,en
representative-1541879,escalation_conservative,service_complaint_escalation,service_complaint_escalation,escalate,0.6209,en
representative-1588773,intent_off_target,service_complaint_escalation,delivery_delay,auto_handle,0.9452,en
representative-1707062,intent_off_target,none,delivery_delay,auto_handle,0.9198,en
representative-1721707,intent_close_secondary,order_status_query,delivery_delay,auto_handle,0.9323,en
representative-1724691,intent_off_target,charge_issue,delivery_delay,auto_handle,0.9378,en
representative-1727624,intent_off_target,delivered_wrong_location,service_complaint_escalation,auto_handle,0.9302,en
representative-174486,intent_off_target,none,delivery_delay,auto_handle,0.894,en
representative-1746071,intent_off_target,service_complaint_escalation,delivery_delay,auto_handle,0.892,en
representative-1755281,intent_off_target,other_unclear,delivery_delay,auto_handle,0.941,en
representative-1763226,intent_off_target,service_complaint_escalation,delivery_delay,auto_handle,0.9022,en
representative-179205,intent_off_target,account_access,delivery_delay,auto_handle,0.9084,en
representative-18706,intent_off_target,refund_request,delivery_delay,auto_handle,0.9046,en
representative-1893565,intent_off_target,service_complaint_escalation,delivery_delay,auto_handle,0.9566,en
representative-1912145,intent_off_target,account_access,delivery_delay,auto_handle,0.9022,en
representative-1943693,intent_off_target,none,delivery_delay,auto_handle,0.9362,en
representative-2003910,escalation_conservative,delivery_delay,delivery_delay,escalate,0.8584,en
representative-2216600,escalation_conservative,service_complaint_escalation,service_complaint_escalation,escalate,0.7175,en
representative-2217342,intent_off_target,refund_request,delivery_delay,auto_handle,0.895,en
representative-2245407,intent_off_target,service_complaint_escalation,delivery_delay,auto_handle,0.9029,en
representative-22572,intent_off_target,cancellation,delivery_delay,auto_handle,0.9337,en
representative-2283511,intent_off_target,delivered_wrong_location,delivery_delay,auto_handle,0.9027,en
representative-2288190,intent_off_target,order_status_query,delivery_delay,auto_handle,0.9165,en
representative-2289844,intent_off_target,delivered_but_not_received,delivery_delay,auto_handle,0.9237,en
representative-2363235,intent_off_target,order_status_query,delivery_delay,auto_handle,0.9125,en
representative-2378990,intent_off_target,device_app_issue,delivery_delay,auto_handle,0.906,en
representative-2384553,intent_off_target,none,delivery_delay,auto_handle,0.918,en
representative-2447260,intent_close_secondary,service_complaint_escalation,delivery_delay,auto_handle,0.9062,en
representative-2450570,intent_off_target,product_return_and_replacement,service_complaint_escalation,auto_handle,0.8842,en
representative-2454046,intent_off_target,product_return_and_replacement,delivery_delay,auto_handle,0.9195,en
representative-2460750,intent_off_target,product_return_and_replacement,delivery_delay,auto_handle,0.9202,en
representative-2515914,intent_off_target,refund_request,delivery_delay,auto_handle,0.9091,en
representative-2523357,intent_off_target,device_app_issue,delivery_delay,auto_handle,0.8894,en
representative-2532842,intent_off_target,delivered_but_not_received,delivery_delay,auto_handle,0.9064,en
representative-2569705,intent_off_target,device_app_issue,delivery_delay,auto_handle,0.8883,en
representative-2580464,intent_off_target,none,delivery_delay,auto_handle,0.8797,en
representative-2611658,intent_off_target,none,delivery_delay,auto_handle,0.8969,en
representative-2664071,escalation_conservative,delivery_delay,delivery_delay,escalate,0.8449,en
representative-26958,intent_off_target,device_app_issue,delivery_delay,auto_handle,0.8984,en
representative-2712534,intent_off_target,refund_request,delivery_delay,auto_handle,0.9134,en
representative-272875,intent_off_target,service_complaint_escalation,delivery_delay,auto_handle,0.9113,en
representative-2769011,intent_off_target,none,delivery_delay,auto_handle,0.9151,en
representative-2780552,escalation_conservative,delivery_delay,delivery_delay,escalate,0.7927,en
representative-2789138,intent_off_target,account_access,delivery_delay,auto_handle,0.8968,en
representative-2847379,intent_off_target,device_app_issue,delivery_delay,auto_handle,0.9111,en
representative-2899649,intent_off_target,cancellation,delivery_delay,auto_handle,0.8941,en
representative-332434,intent_off_target,charge_issue,delivery_delay,auto_handle,0.9255,en
representative-334873,intent_off_target,service_complaint_escalation,delivery_delay,auto_handle,0.8968,en
representative-345473,intent_off_target,product_return_and_replacement,delivery_delay,auto_handle,0.8796,en
representative-350494,intent_off_target,device_app_issue,delivery_delay,auto_handle,0.9543,en
representative-380695,intent_off_target,delivered_but_not_received,delivery_delay,auto_handle,0.9065,en
representative-390810,escalation_conservative,service_complaint_escalation,service_complaint_escalation,escalate,0.757,en
representative-411902,escalation_conservative,service_complaint_escalation,service_complaint_escalation,escalate,0.8583,en
representative-427799,intent_off_target,account_info_update,delivery_delay,auto_handle,0.9035,en
representative-482351,intent_off_target,delivered_but_not_received,delivery_delay,auto_handle,0.9057,en
representative-487699,intent_off_target,none,delivery_delay,auto_handle,0.9204,en
representative-533206,intent_off_target,delivered_wrong_location,delivery_delay,auto_handle,0.9053,en
representative-628261,intent_off_target,none,delivery_delay,auto_handle,0.9513,en
representative-650056,intent_off_target,cancellation,delivery_delay,auto_handle,0.8875,en
representative-832924,intent_close_secondary,order_status_query,delivery_delay,auto_handle,0.8788,en
representative-915961,intent_close_secondary,refund_request,service_complaint_escalation,auto_handle,0.8869,en
challenge-2170818,,delivery_delay,delivery_delay,auto_handle,0.999,en
challenge-2171079,,delivery_delay,delivery_delay,auto_handle,0.8844,en
challenge-2521823,,service_complaint_escalation,service_complaint_escalation,auto_handle,0.9096,en
challenge-2747122,,service_complaint_escalation,service_complaint_escalation,auto_handle,0.8971,en
challenge-2785904,,delivery_delay,delivery_delay,auto_handle,0.891,en
representative-1116569,,delivery_delay,delivery_delay,auto_handle,0.9164,en
representative-1193931,,delivery_delay,delivery_delay,auto_handle,0.886,en
representative-1210214,,delivery_delay,delivery_delay,auto_handle,0.9243,en
representative-1218249,,delivery_delay,delivery_delay,auto_handle,0.9202,en
representative-1311577,,delivery_delay,delivery_delay,auto_handle,0.9038,en
representative-1384189,,service_complaint_escalation,service_complaint_escalation,auto_handle,0.9315,en
representative-1406593,,delivery_delay,delivery_delay,auto_handle,0.9046,en
representative-1420099,,delivery_delay,delivery_delay,auto_handle,0.9275,en
representative-142833,,delivery_delay,delivery_delay,auto_handle,0.9085,en
representative-1570766,,delivery_delay,delivery_delay,auto_handle,0.9685,en
representative-1587374,,delivery_delay,delivery_delay,auto_handle,0.9157,en
representative-2192580,,delivery_delay,delivery_delay,auto_handle,0.8971,en
representative-2296826,,delivery_delay,delivery_delay,auto_handle,0.8983,en
representative-2447788,,delivery_delay,delivery_delay,auto_handle,0.9149,en
representative-2528270,,delivery_delay,delivery_delay,auto_handle,0.9186,en
representative-2683519,,delivery_delay,delivery_delay,auto_handle,0.909,en
representative-2731105,,delivery_delay,delivery_delay,auto_handle,0.9396,en
representative-2824739,,delivery_delay,delivery_delay,auto_handle,0.9439,en
representative-2852150,,delivery_delay,delivery_delay,auto_handle,0.8818,en
representative-2890574,,delivery_delay,delivery_delay,auto_handle,0.938,en
representative-2913230,,delivery_delay,delivery_delay,auto_handle,0.9473,en
representative-2954293,,delivery_delay,delivery_delay,auto_handle,0.9006,en
representative-2960467,,delivery_delay,delivery_delay,auto_handle,0.9326,en
representative-2967623,,delivery_delay,delivery_delay,auto_handle,0.9244,en
representative-300514,,delivery_delay,delivery_delay,auto_handle,0.9427,en
representative-322945,,delivery_delay,delivery_delay,auto_handle,0.925,en
representative-458877,,delivery_delay,delivery_delay,auto_handle,0.9184,en
representative-515245,,delivery_delay,delivery_delay,auto_handle,0.9425,en
representative-550560,,delivery_delay,delivery_delay,auto_handle,0.9271,en
representative-608064,,delivery_delay,delivery_delay,auto_handle,0.8802,en
representative-673242,,delivery_delay,delivery_delay,auto_handle,0.9108,en
representative-86209,,delivery_delay,delivery_delay,auto_handle,0.8894,en
representative-999138,,delivery_delay,delivery_delay,auto_handle,0.9263,en
