query_id,model,input_variant,language,difficulty,primary_intent,mode,miss_kind,useful_retrieved,useful_total,missed_useful_case_ids,missed_related_case_ids,top5_levels
representative-2683519,bm25,ctx,en,hard,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['930310', '1333581']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2931934,bm25,ctx,en,hard,none,lexical_mismatch,full_useful_miss,0,2,"['1257056', '274062']",[],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-322945,bm25,ctx,en,medium,delivery_delay,lexical_mismatch,full_useful_miss,0,3,"['1544573', '2604876', '377955']",['1043602'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-427799,bm25,ctx,en,medium,account_info_update,lexical_mismatch,full_useful_miss,0,2,"['680653', '971831']",['2150932'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-458877,bm25,ctx,en,medium,delivery_delay,lexical_mismatch,full_useful_miss,0,3,"['457709', '457700', '457665']","['457744', '459988']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-533206,bm25,ctx,en,hard,delivered_wrong_location,lexical_mismatch,full_useful_miss,0,4,"['2625655', '1449082', '1335103', '1499843']",['2587367'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-628261,bm25,ctx,en,medium,none,lexical_mismatch,full_useful_miss,0,2,"['2500762', '387984']",['25254'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-676899,bm25,ctx,en,hard,product_return_and_replacement,lexical_mismatch,full_useful_miss,0,1,['522621'],['406609'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-886169,bm25,ctx,en,hard,service_complaint_escalation,lexical_mismatch,full_useful_miss,0,2,"['2252925', '2132871']",['468194'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-1379340,bm25,msg,it,medium,device_app_issue,multilingual_crossover,partial_useful_miss,2,3,['2332811'],['839373'],"['useful', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-1568158,bm25,msg,en,hard,charge_issue,lexical_mismatch,partial_useful_miss,1,3,"['537466', '2532818']",[],"['UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2149534,bm25,msg,en,hard,order_status_query,lexical_mismatch,full_useful_miss,0,1,['942699'],"['348970', '837502', '930357']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2609965,bm25,msg,fr,hard,other_unclear,multilingual_crossover,full_useful_miss,0,3,"['481502', '500827', '481632']",[],"['UNJUDGED', 'related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2694949,bm25,msg,en,hard,account_access,lexical_mismatch,partial_useful_miss,2,4,"['967240', '1039535']",[],"['related', 'UNJUDGED', 'useful', 'UNJUDGED', 'useful']"
challenge-2909124,bm25,msg,en,hard,other_unclear,lexical_mismatch,partial_useful_miss,1,4,"['535669', '96767', '147368']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-842315,bm25,msg,fr,hard,delivery_delay,multilingual_crossover,partial_useful_miss,2,3,['162020'],['162019'],"['useful', 'UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED']"
representative-1136222,bm25,msg,en,hard,service_complaint_escalation,lexical_mismatch,full_useful_miss,0,3,"['1141562', '2496352', '1309094']",[],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1179639,bm25,msg,en,hard,service_complaint_escalation,lexical_mismatch,full_useful_miss,0,1,['577708'],"['911194', '1746127', '1456324']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1210214,bm25,msg,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,1,4,"['1000989', '1502873', '98571']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-136922,bm25,msg,en,hard,cancellation,lexical_mismatch,full_useful_miss,0,2,"['130251', '132358']","['457763', '483097']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2217342,bm25,msg,en,hard,refund_request,lexical_mismatch,full_useful_miss,0,3,"['1514354', '959310', '2598955']",['836885'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2291505,bm25,msg,en,hard,product_return_and_replacement,lexical_mismatch,full_useful_miss,0,3,"['837591', '1096676', '1038875']","['2981998', '931428']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2378990,bm25,msg,en,hard,device_app_issue,lexical_mismatch,full_useful_miss,0,1,['902439'],['595709'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2532842,bm25,msg,en,hard,delivered_but_not_received,lexical_mismatch,full_useful_miss,0,2,"['292871', '111844']","['798703', '1533699']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2664071,bm25,msg,en,hard,delivery_delay,lexical_mismatch,full_useful_miss,0,1,['244688'],"['931619', '896709', '1326823']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2683519,bm25,msg,en,hard,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['930310', '1333581']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2931934,bm25,msg,en,hard,none,lexical_mismatch,partial_useful_miss,1,2,['1257056'],[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-322945,bm25,msg,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['2604876', '377955']",['1043602'],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-427799,bm25,msg,en,medium,account_info_update,lexical_mismatch,full_useful_miss,0,2,"['680653', '971831']",['2150932'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-458877,bm25,msg,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['457709', '457665']","['457744', '459988']","['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-628261,bm25,msg,en,medium,none,lexical_mismatch,full_useful_miss,0,2,"['2500762', '387984']",['25254'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-676899,bm25,msg,en,hard,product_return_and_replacement,lexical_mismatch,full_useful_miss,0,1,['522621'],['406609'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-886169,bm25,msg,en,hard,service_complaint_escalation,lexical_mismatch,partial_useful_miss,1,2,['2132871'],['468194'],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-1568158,tfidf,ctx,en,hard,charge_issue,lexical_mismatch,partial_useful_miss,1,3,"['537466', '2532818']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2609965,tfidf,ctx,fr,hard,other_unclear,multilingual_crossover,full_useful_miss,0,3,"['481502', '500827', '481632']",[],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2694949,tfidf,ctx,en,hard,account_access,lexical_mismatch,partial_useful_miss,1,4,"['476107', '967240', '1039535']",[],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'useful']"
challenge-2909124,tfidf,ctx,en,hard,other_unclear,lexical_mismatch,partial_useful_miss,1,4,"['535669', '96767', '147368']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1136222,tfidf,ctx,en,hard,service_complaint_escalation,lexical_mismatch,partial_useful_miss,1,3,"['2496352', '1309094']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1179639,tfidf,ctx,en,hard,service_complaint_escalation,lexical_mismatch,full_useful_miss,0,1,['577708'],"['911194', '1746127', '1456324']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1210214,tfidf,ctx,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,1,4,"['1000989', '1502873', '98571']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-136922,tfidf,ctx,en,hard,cancellation,lexical_mismatch,full_useful_miss,0,2,"['130251', '132358']","['457763', '483097']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2217342,tfidf,ctx,en,hard,refund_request,lexical_mismatch,partial_useful_miss,1,3,"['959310', '2598955']",['836885'],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2291505,tfidf,ctx,en,hard,product_return_and_replacement,lexical_mismatch,full_useful_miss,0,3,"['837591', '1096676', '1038875']","['2981998', '931428']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2378990,tfidf,ctx,en,hard,device_app_issue,lexical_mismatch,full_useful_miss,0,1,['902439'],['595709'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2532842,tfidf,ctx,en,hard,delivered_but_not_received,lexical_mismatch,full_useful_miss,0,2,"['292871', '111844']",['798703'],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2664071,tfidf,ctx,en,hard,delivery_delay,lexical_mismatch,full_useful_miss,0,1,['244688'],"['931619', '896709', '1326823']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2683519,tfidf,ctx,en,hard,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['930310', '1333581']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2931934,tfidf,ctx,en,hard,none,lexical_mismatch,full_useful_miss,0,2,"['1257056', '274062']",[],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-322945,tfidf,ctx,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['2604876', '377955']",['1043602'],"['UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-427799,tfidf,ctx,en,medium,account_info_update,lexical_mismatch,partial_useful_miss,1,2,['971831'],[],"['irrelevant', 'useful', 'UNJUDGED', 'UNJUDGED', 'related']"
representative-458877,tfidf,ctx,en,medium,delivery_delay,lexical_mismatch,full_useful_miss,0,3,"['457709', '457700', '457665']","['457744', '459988']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-533206,tfidf,ctx,en,hard,delivered_wrong_location,lexical_mismatch,partial_useful_miss,1,4,"['2625655', '1449082', '1335103']",['2587367'],"['UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-628261,tfidf,ctx,en,medium,none,lexical_mismatch,full_useful_miss,0,2,"['2500762', '387984']",['25254'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-676899,tfidf,ctx,en,hard,product_return_and_replacement,lexical_mismatch,full_useful_miss,0,1,['522621'],['406609'],"['irrelevant', 'UNJUDGED', 'irrelevant', 'UNJUDGED', 'UNJUDGED']"
representative-886169,tfidf,ctx,en,hard,service_complaint_escalation,lexical_mismatch,full_useful_miss,0,2,"['2252925', '2132871']",['468194'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-1379340,tfidf,msg,it,medium,device_app_issue,multilingual_crossover,partial_useful_miss,2,3,['2332811'],['839373'],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'useful']"
challenge-1568158,tfidf,msg,en,hard,charge_issue,lexical_mismatch,full_useful_miss,0,3,"['537466', '538444', '2532818']",[],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2149534,tfidf,msg,en,hard,order_status_query,lexical_mismatch,full_useful_miss,0,1,['942699'],"['837502', '930357']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'related']"
challenge-2609965,tfidf,msg,fr,hard,other_unclear,multilingual_crossover,full_useful_miss,0,3,"['481502', '500827', '481632']",[],"['related', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
challenge-2694949,tfidf,msg,en,hard,account_access,lexical_mismatch,partial_useful_miss,1,4,"['967240', '1039535', '476110']",[],"['related', 'UNJUDGED', 'UNJUDGED', 'useful', 'UNJUDGED']"
challenge-2909124,tfidf,msg,en,hard,other_unclear,lexical_mismatch,partial_useful_miss,1,4,"['535669', '96767', '147368']",[],"['UNJUDGED', 'UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED']"
challenge-842315,tfidf,msg,fr,hard,delivery_delay,multilingual_crossover,partial_useful_miss,1,3,"['1507922', '162020']",['162019'],"['UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1136222,tfidf,msg,en,hard,service_complaint_escalation,lexical_mismatch,partial_useful_miss,1,3,"['2496352', '1309094']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1179639,tfidf,msg,en,hard,service_complaint_escalation,lexical_mismatch,full_useful_miss,0,1,['577708'],"['911194', '1746127', '1456324']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-1210214,tfidf,msg,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,1,4,"['1000989', '1502873', '98571']",[],"['UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-136922,tfidf,msg,en,hard,cancellation,lexical_mismatch,full_useful_miss,0,2,"['130251', '132358']","['457763', '483097']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2217342,tfidf,msg,en,hard,refund_request,lexical_mismatch,partial_useful_miss,1,3,"['959310', '2598955']",['836885'],"['UNJUDGED', 'UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED']"
representative-2291505,tfidf,msg,en,hard,product_return_and_replacement,lexical_mismatch,full_useful_miss,0,3,"['837591', '1096676', '1038875']","['2981998', '931428']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2378990,tfidf,msg,en,hard,device_app_issue,lexical_mismatch,full_useful_miss,0,1,['902439'],['595709'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2532842,tfidf,msg,en,hard,delivered_but_not_received,lexical_mismatch,full_useful_miss,0,2,"['292871', '111844']",['798703'],"['UNJUDGED', 'UNJUDGED', 'related', 'UNJUDGED', 'UNJUDGED']"
representative-2664071,tfidf,msg,en,hard,delivery_delay,lexical_mismatch,full_useful_miss,0,1,['244688'],"['931619', '896709', '1326823']","['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-2683519,tfidf,msg,en,hard,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['930310', '1333581']",[],"['useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-322945,tfidf,msg,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['2604876', '377955']",['1043602'],"['UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-427799,tfidf,msg,en,medium,account_info_update,lexical_mismatch,partial_useful_miss,1,2,['971831'],['2150932'],"['irrelevant', 'useful', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-458877,tfidf,msg,en,medium,delivery_delay,lexical_mismatch,partial_useful_miss,1,3,"['457709', '457665']","['457744', '459988']","['UNJUDGED', 'UNJUDGED', 'useful', 'UNJUDGED', 'UNJUDGED']"
representative-628261,tfidf,msg,en,medium,none,lexical_mismatch,full_useful_miss,0,2,"['2500762', '387984']",['25254'],"['UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
representative-676899,tfidf,msg,en,hard,product_return_and_replacement,lexical_mismatch,full_useful_miss,0,1,['522621'],['406609'],"['irrelevant', 'irrelevant', 'UNJUDGED', 'UNJUDGED', 'UNJUDGED']"
